cours,hight,indice,low,open_,time,var
9.085 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,2022-10-26 15:21:45.309980,-0.10%
131.940 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,2022-10-26 15:21:45.314981,-0.42%
105.300 ,105.880 ,AIRBUS,104.300 ,104.360 ,2022-10-26 15:21:45.321987,+1.19%
19.960 ,20.030 ,ALSTOM,19.230 ,19.240 ,2022-10-26 15:21:45.326984,+3.69%
48.010 ,48.565 ,DANONE,47.685 ,48.455 ,2022-10-26 15:21:45.332984,-1.18%
47.350 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,2022-10-26 15:21:45.339984,+0.03%
15.280 ,15.595 ,CARREFOUR,15.175 ,15.535 ,2022-10-26 15:21:45.346986,-1.67%
173.050 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 15:21:45.355989,+0.03%
24.870 ,25.035 ,AXA,24.755 ,24.910 ,2022-10-26 15:21:45.364986,-0.40%
91.860 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 15:21:45.372988,+1.85%
34.360 ,35.795 ,DASSAULT SYSTEMES,34.300 ,35.340 ,2022-10-26 15:21:45.381987,-6.31%
164.900 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,2022-10-26 15:21:45.390988,-0.06%
28.390 ,28.400 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 15:21:45.397989,+0.92%
13.010 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 15:21:45.409989,-0.25%
64.980 ,65.220 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,2022-10-26 15:21:45.418994,0.00%
1 349.500 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,2022-10-26 15:21:45.463994,-0.37%
23.255 ,23.470 ,SOCIETE GENERALE,23.195 ,23.375 ,2022-10-26 15:21:45.472994,-0.06%
125.900 ,126.000 ,THALES,122.150 ,122.250 ,2022-10-26 15:21:45.481995,+3.54%
31.960 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 15:21:45.490998,+0.38%
112.340 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 15:21:45.497995,+1.81%
471.800 ,476.250 ,KERING,470.250 ,472.750 ,2022-10-26 15:21:45.505996,-0.13%
78.240 ,78.320 ,LEGRAND,76.100 ,76.260 ,2022-10-26 15:21:45.512997,+2.35%
83.010 ,83.260 ,SANOFI,82.330 ,82.700 ,2022-10-26 15:21:45.522005,+0.87%
41.735 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 15:21:45.534007,+0.59%
653.800 ,663.600 ,LVMH,651.100 ,659.400 ,2022-10-26 15:21:45.544000,-0.64%
13.548 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 15:21:45.559002,+0.12%
24.705 ,24.810 ,MICHELIN,23.700 ,23.700 ,2022-10-26 15:21:45.568007,-3.23%
34.085 ,34.670 ,STMICROELECTRONICS,33.930 ,34.195 ,2022-10-26 15:21:45.581005,-3.11%
318.650 ,322.900 ,L'OREAL,318.100 ,321.400 ,2022-10-26 15:21:45.595007,-0.93%
132.560 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 15:21:45.605005,+0.96%
272.900 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,2022-10-26 15:21:45.615008,-0.69%
9.439 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 15:21:45.624009,+0.36%
57.240 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,2022-10-26 15:21:45.633008,-2.25%
52.740 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,2022-10-26 15:21:45.644009,-0.96%
174.050 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,2022-10-26 15:21:45.654015,-1.97%
22.500 ,23.070 ,VEOLIA,22.490 ,22.730 ,2022-10-26 15:21:45.663008,-1.01%
8.204 ,8.296 ,VIVENDI,8.164 ,8.296 ,2022-10-26 15:21:45.673013,-1.39%
44.180 ,44.740 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 15:21:45.686015,+0.94%
